,Date,Close,Gross_Profit,ROE
1791,2018-01-09,43.5825,33912,0.37
1792,2018-01-10,43.572498,33912,0.37
1793,2018-01-11,43.82,33912,0.37
1794,2018-01-12,44.272499,33912,0.37
1795,2018-01-16,44.047501,33912,0.37
1796,2018-01-17,44.775002,33912,0.37
1797,2018-01-18,44.814999,33912,0.37
1798,2018-01-19,44.615002,33912,0.37
1799,2018-01-22,44.25,33912,0.37
1800,2018-01-23,44.259998,33912,0.37
1801,2018-01-24,43.555,33912,0.37
1802,2018-01-25,42.7775,33912,0.37
1803,2018-01-26,42.877499,33912,0.37
1804,2018-01-29,41.990002,33912,0.37
1805,2018-01-30,41.7425,33912,0.37
1806,2018-01-31,41.857498,33912,0.37
1807,2018-02-01,41.945,33912,0.37
1808,2018-02-02,40.125,33912,0.37
1809,2018-02-05,39.122501,33912,0.37
1810,2018-02-06,40.7575,33912,0.37
1811,2018-02-07,39.884998,33912,0.37
1812,2018-02-08,38.787498,33912,0.37
1813,2018-02-09,39.102501,33912,0.37
1814,2018-02-12,40.677502,33912,0.37
1815,2018-02-13,41.084999,33912,0.37
1816,2018-02-14,41.842499,33912,0.37
1817,2018-02-15,43.247501,33912,0.37
1818,2018-02-16,43.107498,33912,0.37
1819,2018-02-20,42.962502,33912,0.37
1820,2018-02-21,42.767502,33912,0.37
1821,2018-02-22,43.125,33912,0.37
1822,2018-02-23,43.875,33912,0.37
1823,2018-02-26,44.7425,33912,0.37
1824,2018-02-27,44.5975,33912,0.37
1825,2018-02-28,44.529999,33912,0.37
1826,2018-03-01,43.75,33912,0.37
1827,2018-03-02,44.052502,33912,0.37
1828,2018-03-05,44.205002,33912,0.37
1829,2018-03-06,44.1675,33912,0.37
1830,2018-03-07,43.7575,33912,0.37
1831,2018-03-08,44.235001,33912,0.37
1832,2018-03-09,44.994999,33912,0.37
1833,2018-03-12,45.43,33912,0.37
1834,2018-03-13,44.9925,33912,0.37
1835,2018-03-14,44.610001,33912,0.37
1836,2018-03-15,44.662498,33912,0.37
1837,2018-03-16,44.505001,33912,0.37
1838,2018-03-19,43.825001,33912,0.37
1839,2018-03-20,43.810001,33912,0.37
1840,2018-03-21,42.817501,33912,0.37
1841,2018-03-22,42.212502,33912,0.37
1842,2018-03-23,41.235001,33912,0.37
1843,2018-03-26,43.192501,33912,0.37
1844,2018-03-27,42.084999,33912,0.37
1845,2018-03-28,41.619999,33912,0.37
1846,2018-03-29,41.945,33912,0.37
1847,2018-04-02,41.669998,23422,0.4
1848,2018-04-03,42.0975,23422,0.4
1849,2018-04-04,42.9025,23422,0.4
1850,2018-04-05,43.200001,23422,0.4
1851,2018-04-06,42.095001,23422,0.4
1852,2018-04-09,42.512501,23422,0.4
1853,2018-04-10,43.3125,23422,0.4
1854,2018-04-11,43.110001,23422,0.4
1855,2018-04-12,43.535,23422,0.4
1856,2018-04-13,43.682499,23422,0.4
1857,2018-04-16,43.955002,23422,0.4
1858,2018-04-17,44.560001,23422,0.4
1859,2018-04-18,44.459999,23422,0.4
1860,2018-04-19,43.200001,23422,0.4
1861,2018-04-20,41.43,23422,0.4
1862,2018-04-23,41.310001,23422,0.4
